id,index_number,status,case_title,plaintiff,defendant,court,case_type,filing_date,wage_theft_reason,search_keyword,source_url
2314,090360/2018,Partial Participation Recorded Pre-RJI,Workers' Compensation Board of the State of New York vs AUGUST HOME CARE INC,Workers' Compensation Board of the State of New York vs AUGUST HOME CARE INC,,Kings County Supreme Court Other Matters - Workers Comp App for Judgment,,05/17/2018,keyword: 'compensation',Home Care,DocumentList?docketId=KyzW2jpdOqSrGwCmlv4xLA==&display=all&courtType=Kings County Supreme Court&resultsPageNum=10
2315,090470/2018,Partial Participation Recorded Pre-RJI,Workers' Compensation Board of the State of New York vs THERESA HOME CARE INC,Workers' Compensation Board of the State of New York vs THERESA HOME CARE INC,,Kings County Supreme Court Other Matters - Workers Comp App for Judgment,,06/07/2018,keyword: 'compensation',Home Care,DocumentList?docketId=pS4LSi3w_PLUS_ljwbRDF0a0IJg==&display=all&courtType=Kings County Supreme Court&resultsPageNum=10
2316,090557/2018,Partial Participation Recorded Pre-RJI,Workers' Compensation Board of the State of New York vs I CARE NY HOME HEALTH INC,Workers' Compensation Board of the State of New York vs I CARE NY HOME HEALTH INC,,Kings County Supreme Court Other Matters - Workers Comp App for Judgment,,07/05/2018,keyword: 'compensation',Home Care,DocumentList?docketId=TcBiMnCz3s9kBwNLtPgLQg==&display=all&courtType=Kings County Supreme Court&resultsPageNum=10
2317,090558/2008,Approved for EF Pre-RJI,Workers' Compensation Board of the State of New York vs DEPENDABLE HOME CARE INC,Workers' Compensation Board of the State of New York vs DEPENDABLE HOME CARE INC,,Kings County Supreme Court Workers Comp App for Judgement,,05/13/2008,keyword: 'compensation',Home Care,DocumentList?docketId=6nvPjekx3ybLKrhhxxUDog==&display=all&courtType=Kings County Supreme Court&resultsPageNum=10
2318,090570/2026,Partial Participation Recorded Pre-RJI,Workers' Compensation Board of the State of New York vs SYRACH RN HOME CARE PC,Workers' Compensation Board of the State of New York vs SYRACH RN HOME CARE PC,,Kings County Supreme Court Other Matters - Workers Comp App for Judgment,,02/19/2026,keyword: 'compensation',Home Care,DocumentList?docketId=ZmdaFhyTlU8WkSUeOiT9Fw==&display=all&courtType=Kings County Supreme Court&resultsPageNum=10
2319,090611/2014,Approved for EF Pre-RJI,Workers' Compensation Board of the State of New York - v. - PROSPECT PARK RESIDENCE HOME HEALTH CARE INC,Workers' Compensation Board of the State of New York,PROSPECT PARK RESIDENCE HOME HEALTH CARE INC,Kings County Supreme Court Workers Comp App for Judgement,,06/27/2014,keyword: 'compensation',Home Care,DocumentList?docketId=KXP8I/YjjjyA152dtq0WqQ==&display=all&courtType=Kings County Supreme Court&resultsPageNum=10
2320,090633/2023,Partial Participation Recorded Pre-RJI,"Workers' Compensation Board of the State of New York v. HOME CARE CONTRACTING CORP; SHABNAM RAZA, PRESIDENT and RAZA HAFEEZ, SECRETARY",Workers' Compensation Board of the State of New York,"HOME CARE CONTRACTING CORP; SHABNAM RAZA, PRESIDENT and RAZA HAFEEZ, SECRETARY",Kings County Supreme Court Other Matters - Workers Comp App for Judgment,,05/05/2023,keyword: 'compensation',Home Care,DocumentList?docketId=QCS/ibkmDwFQdQoz_PLUS__PLUS_Iq7g==&display=all&courtType=Kings County Supreme Court&resultsPageNum=10
2321,090720/2022,Partial Participation Recorded Pre-RJI,Workers' Compensation Board of the State of New York vs DIVINE HOME CARE AGENCY INC,Workers' Compensation Board of the State of New York vs DIVINE HOME CARE AGENCY INC,,Kings County Supreme Court Other Matters - Workers Comp App for Judgment,,05/19/2022,keyword: 'compensation',Home Care,DocumentList?docketId=9stXy2s/kAUxPrV_PLUS_LZieVA==&display=all&courtType=Kings County Supreme Court&resultsPageNum=10
2322,090723/2017,Partial Participation Recorded Pre-RJI,Workers' Compensation Board of the State of New York - v. - MYRIAME J BERNADOTTE DBA JUNE HOME CARE AGENCY,Workers' Compensation Board of the State of New York,MYRIAME J BERNADOTTE DBA JUNE HOME CARE AGENCY,Kings County Supreme Court Workers Comp App for Judgement,,06/18/2017,keyword: 'compensation',Home Care,DocumentList?docketId=cYWCLI4Gouie6LcAqoeH4Q==&display=all&courtType=Kings County Supreme Court&resultsPageNum=10
2323,090806/2010,Approved for EF Pre-RJI,Workers' Compensation Board of the State of New York - v. - HOME FAMILY CARE INC,Workers' Compensation Board of the State of New York,HOME FAMILY CARE INC,Kings County Supreme Court Workers Comp App for Judgement,,08/16/2010,keyword: 'compensation',Home Care,DocumentList?docketId=_PLUS_yRAEoXBjrKNfnkDUGZ/qQ==&display=all&courtType=Kings County Supreme Court&resultsPageNum=10
2324,090823/2014,Partial Participation Recorded Pre-RJI,Workers' Compensation Board of the State of New York - v. - CHRISTINE R BRUCE ET AL DBA GENERAL HOME CARE SERVICES,Workers' Compensation Board of the State of New York,CHRISTINE R BRUCE ET AL DBA GENERAL HOME CARE SERVICES,Kings County Supreme Court Workers Comp App for Judgement,,09/26/2014,keyword: 'compensation',Home Care,DocumentList?docketId=6jaaHLOJ1kRova_PLUS_TtinOyA==&display=all&courtType=Kings County Supreme Court&resultsPageNum=10
2325,090844/2017,Partial Participation Recorded Pre-RJI,Workers' Compensation Board of the State of New York - v. - ELIZABETH LUGO DBA LUGO HOME CARE,Workers' Compensation Board of the State of New York,ELIZABETH LUGO DBA LUGO HOME CARE,Kings County Supreme Court Workers Comp App for Judgement,,06/29/2017,keyword: 'compensation',Home Care,DocumentList?docketId=ghYHUW4YFAKI/dCT/mEPXA==&display=all&courtType=Kings County Supreme Court&resultsPageNum=10
2326,090869/2019,Partial Participation Recorded Pre-RJI,Workers' Compensation Board of the State of New York v. Lisa Davies DBA Lily Home Care,Workers' Compensation Board of the State of New York,Lisa Davies DBA Lily Home Care,Kings County Supreme Court Other Matters - Workers Comp App for Judgment,,11/08/2019,keyword: 'compensation',Home Care,DocumentList?docketId=O6PKBtcU7kT1rQeMCy_PLUS_yiw==&display=all&courtType=Kings County Supreme Court&resultsPageNum=11
2327,090870/2011,Approved for EF Pre-RJI,Workers' Compensation Board of the State of New York - v. - TPC HOME CARE SERVICES INC,Workers' Compensation Board of the State of New York,TPC HOME CARE SERVICES INC,Kings County Supreme Court Workers Comp App for Judgement,,07/14/2011,keyword: 'compensation',Home Care,DocumentList?docketId=wDPyq25QH1l27HXBcVGMOQ==&display=all&courtType=Kings County Supreme Court&resultsPageNum=11
2328,090938/2017,Partial Participation Recorded Pre-RJI,Workers' Compensation Board of the State of New York - v. - PRECIOUS KEY HOME CARE INC,Workers' Compensation Board of the State of New York,PRECIOUS KEY HOME CARE INC,Kings County Supreme Court Workers Comp App for Judgement,,07/13/2017,keyword: 'compensation',Home Care,DocumentList?docketId=Z9tUOiUutIMg2kHFQsqMzw==&display=all&courtType=Kings County Supreme Court&resultsPageNum=11
2329,090971/2022,Partial Participation Recorded Pre-RJI,Workers' Compensation Board of the State of New York vs RISHAVENA HOME HEALTH CARE AGENCY INC,Workers' Compensation Board of the State of New York vs RISHAVENA HOME HEALTH CARE AGENCY INC,,Kings County Supreme Court Other Matters - Workers Comp App for Judgment,,06/30/2022,keyword: 'compensation',Home Care,DocumentList?docketId=9ldVvw/JHd/ZOkVUm1MZhg==&display=all&courtType=Kings County Supreme Court&resultsPageNum=11
2330,091103/2020,Partial Participation Recorded Pre-RJI,Workers' Compensation Board of the State of New York vs ROMA S DUNBAR DBA INNOVATIVE HOME CARE,Workers' Compensation Board of the State of New York vs ROMA S DUNBAR DBA INNOVATIVE HOME CARE,,Kings County Supreme Court Other Matters - Workers Comp App for Judgment,,09/17/2020,keyword: 'compensation',Home Care,DocumentList?docketId=kIhSt9xdHqIS7V73_PLUS_NoAqg==&display=all&courtType=Kings County Supreme Court&resultsPageNum=11
2331,091223/2022,Partial Participation Recorded Pre-RJI,Workers' Compensation Board of the State of New York vs AMI HOME CARE INC,Workers' Compensation Board of the State of New York vs AMI HOME CARE INC,,Kings County Supreme Court Other Matters - Workers Comp App for Judgment,,09/08/2022,keyword: 'compensation',Home Care,DocumentList?docketId=S4opP44WzFGV3nwJho_PLUS_UtQ==&display=all&courtType=Kings County Supreme Court&resultsPageNum=11
